<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
31/07/23;000000;251.35;267.77;251.35;267.4;167081570
01/08/23;000000;268.98;273.35;264.1;268.5;162474350
02/08/23;000000;268.53;269.97;266.52;268.57;48208590
03/08/23;000000;269.01;271.35;266.8;269.11;75376240
04/08/23;000000;269.48;272.96;261.21;264.12;132164900
07/08/23;000000;266.5;268.09;260.5;261.92;61223950
08/08/23;000000;261.91;265.44;258.8;264.62;65005790
09/08/23;000000;265.46;265.8;263.05;263.91;34850720
10/08/23;000000;264.72;267.5;263.96;266.91;37190100
11/08/23;000000;267.2;267.4;264.8;266.23;24716230
14/08/23;000000;267.37;268.77;259.15;260.45;86583040
15/08/23;000000;259.1;264.17;256.63;260.42;58967150
16/08/23;000000;261.29;261.68;254.33;256.02;71737910
17/08/23;000000;257.19;258.8;255.5;258.5;35682720
18/08/23;000000;258.39;261.37;257.35;261.14;30973320
21/08/23;000000;262.33;263.06;259.51;261.15;35622200
22/08/23;000000;261.9;262.11;259.81;261.45;25893210
23/08/23;000000;261.55;261.83;256;256.4;53079140
24/08/23;000000;257.62;259.94;256.4;259.63;26823420
25/08/23;000000;258.8;261.6;257.61;260.5;28518670
28/08/23;000000;261.25;267.83;260.81;266.93;57849930
29/08/23;000000;266.62;267.56;265.14;265.68;35291820
30/08/23;000000;265.73;267.36;263.1;264.7;38578950
31/08/23;000000;265.05;266.25;264.3;264.85;22557030
01/09/23;000000;265.4;265.62;264.06;265;19248500
04/09/23;000000;266.5;269.11;266;267.39;47933710
05/09/23;000000;266.97;267.98;261.09;264.75;39642920
06/09/23;000000;264.33;264.68;262.31;263.5;28244090
07/09/23;000000;263.52;264.97;256.1;258.79;67608570
08/09/23;000000;258.45;259.33;253.1;255.68;49455340
11/09/23;000000;257;258.37;255.16;256.25;43042300
12/09/23;000000;257.69;262.4;257.09;262.4;45008650
13/09/23;000000;262.38;262.77;257.59;258.18;29971320
14/09/23;000000;258.85;261.38;255.02;260;46153720
15/09/23;000000;259.8;262.74;258.56;260.83;35455920
18/09/23;000000;262.06;263;258.76;259.07;28891500
19/09/23;000000;258.93;259.32;251.5;252.72;89480280
20/09/23;000000;252.81;255.47;249.82;253.77;66610520
21/09/23;000000;252.94;254.2;249.81;250.16;58854870
22/09/23;000000;249.85;253.1;248.62;251.99;40406630
25/09/23;000000;252.11;253.49;249.83;252.65;31834270
